dealno,north,nhcp,south,shcp,par,ns,nh,nd,nc,np,ss,sh,sd,sc,sp,bid1,bid2,bid3,bid4,bid5,bid6,result,imp
218003, n KJT64.AK.6.AQJ92 ,18,s .962.AJ953.KT865 ,8,1400,5,2,1,5,18,0,3,5,5,8,5♣,7♣,Pass,no,no,no,1440,1
218004, n QT8652.AK6.A64.T ,13,s 4.QJ9743.53.KQ75 ,8,140,6,3,3,1,13,1,6,2,4,8,2♥,Pass,no,no,no,no,140,0
218005, n AT865.A8.A63.AQ8 ,18,s J7.T43.KQJ984.K7 ,10,920,5,2,3,3,18,2,3,6,2,10,3♥,6♦,Pass,no,no,no,920,0
218006, n AK754.Q72.AJT.97 ,14,s T6.T3.KQ543.AQT3 ,11,130,5,3,3,2,14,2,2,5,4,11,Pass,no,no,no,no,no,120,0
218007, n AK865.KT9.863.A9 ,14,s 2.Q73.AQJT54.T75 ,9,400,5,3,3,2,14,1,3,6,3,9,3N,Pass,no,no,no,no,400,0
218008, n AJ865.96.A2.KT98 ,12,s 4.QJT.JT7654.AJ2 ,9,130,5,2,2,4,12,1,3,6,3,9,2♦,Pass,no,no,no,no,130,0
218009, n AK632.A853.A9.54 ,15,s J7.Q7.QJ865.KQ73 ,11,140,5,4,2,2,15,2,2,5,4,11,2♠,Pass,no,no,no,no,140,0
218010, n KQ9743.AQJ.AQ6.2 ,18,s T.T87.J9543.AKQJ ,11,430,6,3,3,1,18,1,3,5,4,11,3N,Pass,no,no,no,no,430,0
218011, n QJ983.Q6.Q97.AK8 ,14,s 6.J9872.AJ82.QJ5 ,9,120,5,2,3,3,14,1,5,4,3,9,Pass,no,no,no,no,no,120,0
218012, n AT862.AJ54.QJ7.9 ,12,s 5.T83.654.AKJ765 ,8,100,5,4,3,1,12,1,3,3,6,8,Pass,no,no,no,no,no,90,0
218013, n KQT9542.AQ..A964 ,15,s 3.KJ53.KJT92.JT8 ,9,450,7,2,0,4,15,1,4,5,3,9,4♠,Pass,no,no,no,no,450,0
218014, n AK765.KQT.QT74.2 ,14,s T4.A97.9.AQJ8653 ,11,430,5,3,4,1,14,2,3,1,7,11,3N,Pass,no,no,no,no,430,0
218015, n AQT854.KQ32.T8.J ,12,s 63.764.QJ7653.KQ ,8,-130,6,4,2,1,12,2,3,6,2,8,2♠,Pass,no,no,no,no,-50,2
218016, n AK965.J9432.AT.A ,16,s Q3.7.KJ84.KQT932 ,11,400,5,5,2,1,16,2,1,4,6,11,3N,Pass,no,no,no,no,400,0
218017, n A8643.Q9.AQ975.8 ,12,s 97.J7.KJT42.K653 ,8,-450,5,2,5,1,12,2,2,5,4,8,3♦,Pass,no,no,no,no,110,11
218018, n KQT942.QT.K94.AQ ,16,s 5.752.AQJ32.K942 ,10,140,6,2,3,2,16,1,3,5,4,10,2♠,Pass,no,no,no,no,140,0
218019, n KQ843.A.A74.T872 ,13,s 2.KJT853.QT.KQ95 ,11,140,5,1,3,4,13,1,6,2,4,11,2♣,Pass,no,no,no,no,130,0
218020, n AKQJ2.AJ.T76.A92 ,19,s 9.K86.KJ83.JT865 ,8,460,5,2,3,3,19,1,3,4,5,8,3N,Pass,no,no,no,no,460,0
218021, n KQT76.T32.K.AJ62 ,13,s 42.86.AQT532.K95 ,9,420,5,3,1,4,13,2,2,6,3,9,4♠,Pass,no,no,no,no,420,0
218022, n AKJ875.Q8.AKQ8.4 ,19,s .A963.732.AQT765 ,10,920,6,2,4,1,19,0,4,3,6,10,3♦,6♣,Pass,no,no,no,920,0
218023, n KQ832..A43.KQ743 ,14,s 97.A843.K8762.J2 ,8,420,5,0,3,5,14,2,4,5,2,8,4♠,Pass,no,no,no,no,420,0
218024, n AKQ76.AT3.AQ2.Q8 ,21,s 94.KQ85.J93.KT72 ,9,990,5,3,3,2,21,2,4,3,4,9,4♣,6N,Pass,no,no,no,990,0
218025, n AKQ986.Q852.Q93. ,13,s J4.AKJ9.2.Q98732 ,11,980,6,4,3,0,13,2,4,1,6,11,4♥,6♥,Pass,no,no,no,980,0
218026, n AKJ64.AK4.86.A92 ,19,s 9.975.A975.KQJ85 ,10,430,5,3,2,3,19,1,3,4,5,10,3N,Pass,no,no,no,no,430,0
218027, n KQJT64.K8.54.QJ8 ,12,s 7.AJT53.T983.A64 ,9,140,6,2,2,3,12,1,5,4,3,9,2♠,Pass,no,no,no,no,110,-1
218028, n AKT62.2.KQ93.Q65 ,14,s Q.Q6.AT765.97432 ,8,130,5,1,4,3,14,1,2,5,5,8,2♣,Pass,no,no,no,no,130,0
218029, n A8765.A4.843.AT6 ,12,s QT.KJ86.J9.KJ832 ,11,400,5,2,3,3,12,2,4,2,5,11,5♣,Pass,no,no,no,no,400,0
218030, n AKQ86.KJ5.J62.A9 ,18,s J5.QT732.Q.KQT85 ,10,450,5,3,3,2,18,2,5,1,5,10,4♥,Pass,no,no,no,no,450,0
218031, n AKT952.A82.K8.95 ,14,s 4.KQ97543.9.QJ32 ,8,300,6,3,2,2,14,1,7,1,4,8,3N,Pass,no,no,no,no,430,4
218032, n T8765.K9.K.KQJ62 ,12,s QJ.A2.AT8742.874 ,11,100,5,2,1,5,12,2,2,6,3,11,Pass,no,no,no,no,no,120,1
218033, n KQ986.KT43..AKJ2 ,16,s 74.A.KQJ972.8764 ,10,130,5,4,0,4,16,2,1,6,4,10,Pass,no,no,no,no,no,120,0
218034, n AK752.AT9.32.J32 ,12,s J4.Q762.AJT.KT75 ,11,400,5,3,2,3,12,2,4,3,4,11,3N,Pass,no,no,no,no,400,0
218035, n AKQT7.QJ9.K7.A43 ,19,s 83.AK64.AT986.T6 ,11,450,5,3,2,3,19,2,4,5,2,11,4♠,Pass,no,no,no,no,450,0
218036, n QT9864.K42.A8.K2 ,12,s 5.T97.KQJ9.AJT97 ,11,400,6,3,2,2,12,1,3,4,5,11,3N,Pass,no,no,no,no,400,0
218037, n A97542.94.A76.A4 ,12,s .AQJ632.5.KJ9652 ,11,1520,6,2,3,2,12,0,6,1,6,11,4♠,7♥,Pass,no,no,no,1510,0
218038, n K87653.A.92.KQ96 ,12,s AQ.7642.Q864.J72 ,9,-300,6,1,2,4,12,2,4,4,3,9,2♠,Pass,no,no,no,no,110,9
218039, n AQT54.53.AT62.A7 ,14,s J.AJ42.K9.QT6532 ,11,400,5,2,4,2,14,1,4,2,6,11,2♣,2♠,Pass,no,no,no,140,-6
218040, n AQ965.AK.JT6.T97 ,14,s .753.KQ84.AQ6543 ,11,460,5,2,3,3,14,0,3,4,6,11,3N,Pass,no,no,no,no,460,0
218041, n AQJ64.AJ.J974.52 ,13,s T.K9865.653.KQ86 ,8,110,5,2,4,2,13,1,5,3,4,8,2♥,Pass,no,no,no,no,110,0
218042, n AJT9754..AQJ75.Q ,14,s 82.J98764.2.AKT9 ,8,980,7,0,5,1,14,2,6,1,4,8,3N,6♠,Pass,no,no,no,980,0
218043, n AKQJ4..J973.J654 ,12,s 5.Q543.KQ86.Q932 ,9,100,5,0,4,4,12,1,4,4,4,9,2♣,Pass,no,no,no,no,110,0
218044, n KJ9732.KQ.Q5.A87 ,15,s T6.A854.AT983.T9 ,8,140,6,2,2,3,15,2,4,5,2,8,2♠,Pass,no,no,no,no,140,0
218045, n AKQ9752.64.T.KQ5 ,14,s T3.QJT2.753.AJT4 ,8,420,7,2,1,3,14,2,4,3,4,8,4♠,Pass,no,no,no,no,420,0
218046, n AK853.AJ.A7.J985 ,17,s 6.KQT65.QT3.K642 ,10,430,5,2,2,4,17,1,5,3,4,10,3N,Pass,no,no,no,no,430,0
218047, n AK8753.AQ7.Q5.83 ,15,s 64.KJT984.A.J954 ,9,420,6,3,2,2,15,2,6,1,4,9,4♥,Pass,no,no,no,no,420,0
218048, n AQ982.KJ75.K97.7 ,13,s K5..QT62.KJ85432 ,9,300,5,4,3,1,13,2,0,4,7,9,3N,Pass,no,no,no,no,400,3
218049, n KT975.93.Q54.AK8 ,12,s Q.QJ52.AJ32.J743 ,11,400,5,2,3,3,12,1,4,4,4,11,3N,Pass,no,no,no,no,400,0
218050, n KQJT92.A.KQJ86.9 ,16,s 6.KJT72.A943.T86 ,8,420,6,1,5,1,16,1,5,4,3,8,4♠,Pass,no,no,no,no,420,0
218051, n AKQ953.AK.T986.A ,20,s 42.J8654.K43.KJ7 ,8,460,6,2,4,1,20,2,5,3,3,8,3N,Pass,no,no,no,no,460,0
218052, n QT9754..AKJT9.A7 ,14,s .AK542.Q74.J9863 ,10,130,6,0,5,2,14,0,5,3,5,10,Pass,no,no,no,no,no,120,0
218053, n AJ943.Q7.AQT42.T ,13,s KT.AJ85.75.K9872 ,11,420,5,2,5,1,13,2,4,2,5,11,4♠,Pass,no,no,no,no,420,0
218054, n AQ965.A7.Q2.AK62 ,19,s K4.KJ3.KJ3.T9843 ,11,460,5,2,2,4,19,2,3,3,5,11,3N,Pass,no,no,no,no,460,0
218055, n AQT86.QT9.Q.AQ73 ,16,s 73.A875.A963.K65 ,11,430,5,3,1,4,16,2,4,4,3,11,4♠,Pass,no,no,no,no,420,0
218056, n QJT972.A.KQ.A874 ,16,s K8.T54.9543.KQT5 ,8,450,6,1,2,4,16,2,3,4,4,8,4♠,Pass,no,no,no,no,450,0
218057, n AK753.AQ54..AJ74 ,18,s 6.KT92.KJ98.KT65 ,10,980,5,4,0,4,18,1,4,4,4,10,4♥,6♥,Pass,no,no,no,980,0
218058, n AQ9832.KT75.AQ.9 ,15,s .AJ86.KJ753.Q764 ,11,450,6,4,2,1,15,0,4,5,4,11,4♥,Pass,no,no,no,no,420,-1
218059, n K8532.AJ.K94.AQ2 ,17,s QJ.Q865.T5.KT964 ,8,420,5,2,3,3,17,2,4,2,5,8,4♠,Pass,no,no,no,no,420,0
218060, n AKQ82.AK5.986.75 ,16,s 9.QJ98.KQJ2.T964 ,9,420,5,3,3,2,16,1,4,4,4,9,4♥,Pass,no,no,no,no,420,0
218061, n AJ764.AQ96.876.J ,12,s 92.KJT853.AT.T86 ,8,100,5,4,3,1,12,2,6,2,3,8,4♥,Pass,no,no,no,no,420,8
218062, n AKJ973.KT3.J5.K4 ,15,s 62..KT84.AJT9873 ,8,980,6,3,2,2,15,2,0,4,7,8,4♠,6♠,Pass,no,no,no,980,0
218063, n KQJ852.AJ5.75.JT ,12,s 4.T984.9632.AKQ2 ,9,80,6,3,2,2,12,1,4,4,4,9,Pass,no,no,no,no,no,-50,-4
218064, n KT962.AQ9742.KJ. ,13,s Q4.K6.A97642.JT4 ,10,980,5,6,2,0,13,2,2,6,3,10,4♥,6♥,Pass,no,no,no,980,0
218065, n KQ9432.KQJ.J94.T ,12,s 8.AT765.K2.K9752 ,10,140,6,3,3,1,12,1,5,2,5,10,2♥,Pass,no,no,no,no,140,0
218066, n KJT765..A6.AQ843 ,14,s 92.QJ8743.QJ9.KT ,9,420,6,0,2,5,14,2,6,3,2,9,4♠,Pass,no,no,no,no,420,0
218067, n AT865.742.AK9.J3 ,12,s Q.QT9653.432.AT5 ,8,140,5,3,3,2,12,1,6,3,3,8,3♥,Pass,no,no,no,no,140,0
218068, n Q8543.A6.AQJ.K92 ,16,s AJ.T52.742.AJ854 ,10,920,5,2,3,3,16,2,3,3,5,10,3♦,6♣,Pass,no,no,no,920,0
218069, n AKJ872.64.T5.A87 ,12,s 4.AJ9872.62.K532 ,8,-100,6,2,2,3,12,1,6,2,4,8,Pass,no,no,no,no,no,120,6
218070, n KJ543.AK5.42.Q93 ,13,s 97.6432.KQJ9.AJ2 ,11,120,5,3,2,3,13,2,4,4,3,11,Pass,no,no,no,no,no,120,0
218071, n KQJT42.2.AT83.A5 ,14,s 96.KQJ6.Q765.984 ,8,140,6,1,4,2,14,2,4,4,3,8,2♠,Pass,no,no,no,no,140,0
218072, n AQJT74.KQ2.J5.53 ,13,s 5.5.K9843.AQJT64 ,10,-140,6,3,2,2,13,1,1,5,6,10,Pass,no,no,no,no,no,90,6
218073, n KT654.A6.AKQ7.53 ,16,s J9.K2.J65.AQT982 ,11,460,5,2,4,2,16,2,2,3,6,11,3N,Pass,no,no,no,no,460,0
218074, n T9643.J98.A.AKT9 ,12,s AJ.K753.42.J8742 ,9,100,5,3,1,4,12,2,4,2,5,9,2♣,Pass,no,no,no,no,130,1
218075, n AKT52.A732.6.A83 ,15,s Q3.T865.AK7.Q976 ,11,450,5,4,1,3,15,2,4,3,4,11,4♥,Pass,no,no,no,no,450,0
218076, n KJT43.754.A8.A82 ,12,s 5.AQJ6.T7532.QT7 ,9,80,5,3,2,3,12,1,4,5,3,9,Pass,no,no,no,no,no,-50,-4
218077, n AKQ42.Q.QT5.AJT8 ,18,s T5.AKT94.K763.97 ,10,460,5,1,3,4,18,2,5,4,2,10,3N,Pass,no,no,no,no,460,0
218078, n A8652.865.A3.AK9 ,15,s JT.K74.KQ87.T764 ,9,110,5,3,2,3,15,2,3,4,4,9,2♠,Pass,no,no,no,no,110,0
218079, n K9874.J.A9875.AQ ,14,s A6.QT2.Q42.T9752 ,8,-100,5,1,5,2,14,2,3,3,5,8,Pass,no,no,no,no,no,90,5
218080, n AQT865.J72.AQ5.8 ,13,s K2.AKT654.763.T2 ,10,100,6,3,3,1,13,2,6,3,2,10,4♥,Pass,no,no,no,no,420,8
218081, n AKT86.954.JT.AQ2 ,14,s J5.KJT3.K63.JT93 ,9,100,5,3,2,3,14,2,4,3,4,9,Pass,no,no,no,no,no,90,0
218082, n AKQ65.QJ84.T53.7 ,12,s T2.KT75.AQ74.T32 ,9,420,5,4,3,1,12,2,4,4,3,9,4♥,Pass,no,no,no,no,420,0
218083, n AQ9763.J6.AT92.Q ,13,s J2.KT5.J84.A8653 ,9,420,6,2,4,1,13,2,3,3,5,9,4♠,Pass,no,no,no,no,420,0
218084, n AJ985.64.2.AKJ83 ,13,s T4.KJ832.KQ43.T5 ,9,110,5,2,1,5,13,2,5,4,2,9,2♠,Pass,no,no,no,no,110,0
218085, n KQT82.KJ85.T96.A ,13,s 7.T764.AQ5.QT932 ,8,140,5,4,3,1,13,1,4,3,5,8,2♥,Pass,no,no,no,no,140,0
218086, n AJT53.75.Q6.KQ73 ,12,s 64.KJT8.A8742.J9 ,9,120,5,2,2,4,12,2,4,5,2,9,Pass,no,no,no,no,no,120,0
218087, n AKT65.A.T72.QJ53 ,14,s QJ.4.AJ964.98764 ,8,420,5,1,3,4,14,2,1,5,5,8,4♠,Pass,no,no,no,no,420,0
218088, n AJ742.A98.K97.A5 ,16,s Q3.K762.T8543.K2 ,8,110,5,3,3,2,16,2,4,5,2,8,Pass,no,no,no,no,no,120,0
218089, n K97432.Q6.K.KQ74 ,13,s Q5.83.AQ9854.953 ,8,-100,6,2,1,4,13,2,2,6,3,8,2♦,Pass,no,no,no,no,90,5
218090, n AKJ43.Q7.87.AJ65 ,15,s 65.A432.AJ95432. ,9,420,5,2,2,4,15,2,4,7,0,9,4♠,Pass,no,no,no,no,420,0
218091, n KQT853.84.AJ6.AT ,14,s A4.J7632.KT87.J6 ,9,450,6,2,3,2,14,2,5,4,2,9,4♠,Pass,no,no,no,no,450,0
218092, n AQ875.T74.Q2.AJ3 ,13,s 6.J6.K94.KQT9754 ,9,130,5,3,2,3,13,1,2,3,7,9,2♣,Pass,no,no,no,no,130,0
218093, n KJ7542.AT2.A6.AJ ,17,s T3.Q98.KQ9853.K8 ,10,140,6,3,2,2,17,2,3,6,2,10,2♦,Pass,no,no,no,no,130,0
218094, n AQ943.K97542.K.J ,13,s J.A63.QT6543.K72 ,10,420,5,6,1,1,13,1,3,6,3,10,4♥,Pass,no,no,no,no,420,0
218095, n AT954.A2.AKQJT7. ,18,s 2.KQ973.964.KQ64 ,10,1440,5,2,6,0,18,1,5,3,4,10,4♥,7♦,Pass,no,no,no,1440,0
218096, n KQ965.K7.AKQJ4.3 ,18,s A4.QT32.986.Q865 ,8,420,5,2,5,1,18,2,4,3,4,8,4♠,Pass,no,no,no,no,420,0
218097, n K8763.T53.A7.AJ5 ,12,s 5.AKJ8.J6542.764 ,9,-90,5,3,2,3,12,1,4,5,3,9,Pass,no,no,no,no,no,-50,1
218098, n AQJ42.J62.JT.K43 ,12,s K.KT74.K94.JT762 ,10,100,5,3,2,3,12,1,4,3,5,10,Pass,no,no,no,no,no,-50,-4
218099, n AKJ9742.KQ.Q3.T2 ,15,s Q3.AJ8765.T87.A7 ,11,450,7,2,2,2,15,2,6,3,2,11,4♠,Pass,no,no,no,no,450,0
218100, n AKQ762.643.Q92.J ,12,s .K982.AJ753.KT98 ,11,120,6,3,3,1,12,0,4,5,4,11,Pass,no,no,no,no,no,90,-1
218101, n A7542.KQ8.6.KQ83 ,14,s 8.A65.AT842.J952 ,9,130,5,3,1,4,14,1,3,5,4,9,Pass,no,no,no,no,no,120,0
218102, n AQJ983.AT9.93.J2 ,12,s 6.K862.KJT4.A743 ,11,420,6,3,2,2,12,1,4,4,4,11,4♠,Pass,no,no,no,no,420,0
218103, n AQ654.A.Q6432.65 ,12,s K2.QT7543.J.QJT8 ,9,110,5,1,5,2,12,2,6,1,4,9,2♥,Pass,no,no,no,no,110,0
218104, n AKQT32.A4.98.862 ,13,s 95.T72.QJ32.AK43 ,10,300,6,2,2,3,13,2,3,4,4,10,3N,Pass,no,no,no,no,400,3
218105, n AKJ984.K.KT542.7 ,14,s T.Q873.QJ8.AJ643 ,10,420,6,1,5,1,14,1,4,3,5,10,4♠,Pass,no,no,no,no,420,0
218106, n KQ976.KJ.K3.7643 ,12,s J5.T97532.A.KJT8 ,9,-100,5,2,2,4,12,2,6,1,4,9,2♠,Pass,no,no,no,no,110,5
218107, n AKQT9542.Q..Q763 ,13,s 73.A743.KJT72.54 ,8,-100,8,1,0,4,13,2,4,5,2,8,2♠,Pass,no,no,no,no,140,6
218108, n K9875.AQ83.Q5.K2 ,14,s 63.JT97.A763.AT9 ,9,420,5,4,2,2,14,2,4,4,3,9,4♥,Pass,no,no,no,no,420,0
218109, n KQ762.AQ.K6.KT52 ,17,s 9.KJ53.AQT82.864 ,10,430,5,2,2,4,17,1,4,5,3,10,3N,Pass,no,no,no,no,430,0
218110, n KQ985.8.KQ2.AJ92 ,15,s J2.AKJ7642.7.853 ,9,140,5,1,3,4,15,2,7,1,3,9,2♥,Pass,no,no,no,no,140,0
218111, n KJ732.42.KQ7.KJ2 ,13,s A6.87.A8643.Q963 ,10,130,5,2,3,3,13,2,2,5,4,10,2♦,Pass,no,no,no,no,130,0
218112, n K7543.AK432.A6.A ,18,s A.T76.K75.QT9652 ,9,450,5,5,2,1,18,1,3,3,6,9,4♠,Pass,no,no,no,no,450,0
218113, n AKJT76.KJ9.54.95 ,12,s 95.Q84.AJ32.Q643 ,9,140,6,3,2,2,12,2,3,4,4,9,2♠,Pass,no,no,no,no,140,0
218114, n AQJT53.AJT653.8. ,12,s 82.KQ2.72.K87532 ,8,300,6,6,1,0,12,2,3,2,6,8,4♥,Pass,no,no,no,no,450,4
218115, n AKQT6.J864.K.KQ4 ,18,s 84.T32.AT85.AT32 ,8,430,5,4,1,3,18,2,3,4,4,8,3N,Pass,no,no,no,no,430,0
218116, n AKQJ9753..A2.T93 ,14,s 62.KT95.QJ87.K84 ,9,420,8,0,2,3,14,2,4,4,3,9,3N,Pass,no,no,no,no,400,-1
218117, n Q9754.Q.AKT.K972 ,14,s 6.A982.J9743.A65 ,9,110,5,1,3,4,14,1,4,5,3,9,2♦,Pass,no,no,no,no,110,0
218118, n AKQJ853.K.82.T73 ,13,s 96.T98.AKJT743.8 ,8,300,7,1,2,3,13,2,3,7,1,8,4♠,Pass,no,no,no,no,450,4
218119, n AKT976..K87.QT87 ,12,s Q.JT954.JT92.A96 ,8,420,6,0,3,4,12,1,5,4,3,8,4♠,Pass,no,no,no,no,420,0
218120, n AKJ62.J874.K8.J8 ,13,s T3.Q5.QJ653.KT63 ,8,80,5,4,2,2,13,2,2,5,4,8,Pass,no,no,no,no,no,-50,-4
218121, n AQT864.KQ54.93.K ,14,s 75.AT876.A62.QJ7 ,11,100,6,4,2,1,14,2,5,3,3,11,Pass,no,no,no,no,no,120,1
218122, n KQJT43.KJ93.6.QJ ,13,s A5.T864.A92.T764 ,8,100,6,4,1,2,13,2,4,3,4,8,2♥,Pass,no,no,no,no,140,1
218123, n AK832.53.J.KQJ76 ,14,s .QJT76.A942.AT84 ,11,400,5,2,1,5,14,0,5,4,4,11,3N,Pass,no,no,no,no,400,0
218124, n AQ952.KJT9.K5.T5 ,13,s J3.Q632.J732.KJ3 ,8,100,5,4,2,2,13,2,4,4,3,8,Pass,no,no,no,no,no,90,0
218125, n QJ7642.A5.A853.K ,14,s AT.J62.QT74.J974 ,8,140,6,2,4,1,14,2,3,4,4,8,2♠,Pass,no,no,no,no,140,0
218126, n AKQ83.3.AK974.64 ,16,s 62.Q94.QT2.AK972 ,11,800,5,1,5,2,16,2,3,3,5,11,4♦,6♦,Pass,no,no,no,920,3
218127, n Q8642.A2.K3.A975 ,13,s 3.KQ863.T642.QJT ,8,90,5,2,2,4,13,1,5,4,3,8,Pass,no,no,no,no,no,90,0
218128, n AKJ962.A.976.A85 ,16,s 5.T943.AQ54.KT64 ,9,430,6,1,3,3,16,1,4,4,4,9,3N,Pass,no,no,no,no,430,0
218129, n AKJ43.86.J954.A7 ,13,s Q9.AKT43.876.Q96 ,11,120,5,2,4,2,13,2,5,3,3,11,Pass,no,no,no,no,no,120,0
218130, n KQJ7543.94.A2.A2 ,14,s T.AT75.KQ65.T873 ,9,420,7,2,2,2,14,1,4,4,4,9,4♠,Pass,no,no,no,no,420,0
218131, n 97542.KQ.T5.AK98 ,12,s Q.J85.AQJ96.7543 ,10,130,5,2,2,4,12,1,3,5,4,10,2♣,Pass,no,no,no,no,110,-1
