dealno,north,nhcp,south,shcp,par,ns,nh,nd,nc,np,ss,sh,sd,sc,sp,bid1,bid2,bid3,bid4,bid5,bid6,result,imp
218262, n AKQ943.AT5.A6.J9 ,18,s 82.7.QJ953.KQ864 ,8,450,6,3,2,2,18,2,1,5,5,8,4♠,Pass,no,no,no,no,450,0
218263, n AJT85.K7.Q32.AJ5 ,15,s 93.AQJT82.KT5.42 ,10,430,5,2,3,3,15,2,6,3,2,10,4♠,Pass,no,no,no,no,420,0
218264, n Q7643.KJT8..AQ94 ,12,s K8.A3.KT754.T762 ,10,400,5,4,0,4,12,2,2,5,4,10,2♠,Pass,no,no,no,no,140,-6
218265, n KJ985.KQ7.Q987.Q ,13,s AQ.942.KT52.JT94 ,10,400,5,3,4,1,13,2,3,4,4,10,3N,Pass,no,no,no,no,400,0
218266, n AQT73.A9.J8.K832 ,14,s 2.KT865.A9753.A6 ,11,420,5,2,2,4,14,1,5,5,2,11,4♥,Pass,no,no,no,no,420,0
218267, n AJT42.T32.A7.K75 ,12,s Q9.K984.J86.AJ82 ,11,460,5,3,2,3,12,2,4,3,4,11,3N,Pass,no,no,no,no,460,0
218268, n QJ965.853.A.AJ82 ,12,s T4.AKJ6.KT6432.7 ,11,420,5,3,1,4,12,2,4,6,1,11,4♥,Pass,no,no,no,no,420,0
218269, n AQ532.A65.K2.J84 ,14,s KJ.J7.A9864.Q965 ,11,120,5,3,2,3,14,2,2,5,4,11,Pass,no,no,no,no,no,120,0
218270, n QT763.QJ.AT742.A ,13,s 8.K987653.K6.K94 ,9,420,5,2,5,1,13,1,7,2,3,9,4♥,Pass,no,no,no,no,420,0
218271, n AKQ8643.72..K986 ,12,s 7.KQ4.T96532.A53 ,9,420,7,2,0,4,12,1,3,6,3,9,4♠,Pass,no,no,no,no,420,0
218272, n AJ632.Q82.KQ8.Q3 ,14,s 7.AT95.A6542.K87 ,11,400,5,3,3,2,14,1,4,5,3,11,3N,Pass,no,no,no,no,400,0
218273, n AKQ52.JT7.72.KQ2 ,15,s 63.KQ6532.5.A875 ,9,300,5,3,2,3,15,2,6,1,4,9,4♥,Pass,no,no,no,no,420,3
218274, n AT973.AKQ82.6.T5 ,13,s 4.6.QJ987.AJ8764 ,8,110,5,5,1,2,13,1,1,5,6,8,2♣,Pass,no,no,no,no,110,0
218275, n QT87653.KQ8..AQ9 ,13,s 94.765.AK5.J8762 ,8,-100,7,3,0,3,13,2,3,3,5,8,2♠,Pass,no,no,no,no,110,5
218276, n AQ964.KQ.83.KJ74 ,15,s T8.AJ965..AQ9632 ,11,1510,5,2,2,4,15,2,5,0,6,11,4♠,7♥,Pass,no,no,no,1510,0
218277, n AJ543.Q84.K75.AQ ,16,s T.AJT5.AJ83.7532 ,10,980,5,3,3,2,16,1,4,4,4,10,4♥,6♥,Pass,no,no,no,980,0
218278, n AKJ632.J984.Q.K9 ,14,s T9.AT3.A763.J852 ,9,420,6,4,1,2,14,2,3,4,4,9,4♠,Pass,no,no,no,no,420,0
218279, n AJT753.AK8..J753 ,13,s Q4.Q97632.JT8.K9 ,8,500,6,3,0,4,13,2,6,3,2,8,4♠,6♠,Pass,no,no,no,980,10
218280, n KQJ742.AQ.3.KT52 ,15,s .J863.AQJ9852.J3 ,9,920,6,2,1,4,15,0,4,7,2,9,3♥,6♦,Pass,no,no,no,920,0
218281, n AQJ983.KQ95.J.T7 ,13,s 4.J632.AKT94.K92 ,11,420,6,4,1,2,13,1,4,5,3,11,4♥,Pass,no,no,no,no,420,0
218282, n J8643.KQ3.AQ4.64 ,12,s AT.72.T7652.KJ75 ,8,110,5,3,3,2,12,2,2,5,4,8,2♦,Pass,no,no,no,no,110,0
218283, n Q9765.A.Q97.AQ76 ,14,s .QJ9652.A632.KJ5 ,11,450,5,1,3,4,14,0,6,4,3,11,4♥,Pass,no,no,no,no,450,0
218284, n AQJ94.J86.Q.QJ43 ,13,s T7.Q54.K5.AT9762 ,9,100,5,3,1,4,13,2,3,2,6,9,Pass,no,no,no,no,no,120,1
218285, n QJ654.KQ85.6.AT9 ,12,s T3.T976.AQ87.K73 ,9,140,5,4,1,3,12,2,4,4,3,9,2♠,Pass,no,no,no,no,140,0
218286, n AT7643.A753.A.QT ,14,s 5.Q9.J76.AKJ9876 ,11,1440,6,4,1,2,14,1,2,3,7,11,4♥,7♣,Pass,no,no,no,1440,0
218287, n AJ973.T.Q2.AKJT2 ,15,s 64.A742.A984.Q97 ,10,420,5,1,2,5,15,2,4,4,3,10,4♠,Pass,no,no,no,no,420,0
218288, n AT754.AJT5.K8.K2 ,15,s 83.Q6.AQT653.T53 ,8,400,5,4,2,2,15,2,2,6,3,8,3N,Pass,no,no,no,no,400,0
218289, n KQ86532.A7.Q74.K ,14,s AJ.T82.K62.JT653 ,9,100,7,2,3,1,14,2,3,3,5,9,4♠,Pass,no,no,no,no,420,8
218290, n A9643.97.AJ.AJ93 ,14,s 85.A8542.KQT865. ,9,450,5,2,2,4,14,2,5,6,0,9,4♥,Pass,no,no,no,no,450,0
218291, n AQJ93.Q.KT6.KJ32 ,16,s 64.943.A94.AT954 ,8,920,5,1,3,4,16,2,3,3,5,8,4♣,6♣,Pass,no,no,no,920,0
218292, n AK762.8.A92.KQT4 ,16,s 85.KQJ76.KJ74.J3 ,11,430,5,1,3,4,16,2,5,4,2,11,3N,Pass,no,no,no,no,430,0
218293, n AKJ42.K3.KQT.K75 ,19,s 73.A96.A976.Q832 ,10,430,5,2,3,3,19,2,3,4,4,10,4♠,Pass,no,no,no,no,420,0
218294, n AQ854.KT2.AT.A86 ,17,s 92.AQ.K97643.J43 ,10,430,5,3,2,3,17,2,2,6,3,10,3N,Pass,no,no,no,no,430,0
218295, n AK8642.32.Q97.A7 ,13,s J9.QJT65.A32.K64 ,11,140,6,2,3,2,13,2,5,3,3,11,3♠,Pass,no,no,no,no,140,0
218296, n AQJ75..8.AKJT974 ,15,s K4.J876.A97432.2 ,8,500,5,0,1,7,15,2,4,6,1,8,4♣,6♣,Pass,no,no,no,920,9
218297, n AT875.KQ4.Q5.K98 ,14,s K.JT93.AT9762.T3 ,8,420,5,3,2,3,14,1,4,6,2,8,4♥,Pass,no,no,no,no,420,0
218298, n AQJT96.KJ.A53.65 ,15,s 5.AT9765.Q6.QJ84 ,9,420,6,2,3,2,15,1,6,2,4,9,4♥,Pass,no,no,no,no,420,0
218299, n KJ732.4.AKQ73.KT ,16,s 85.AKQ9652.8.Q92 ,11,460,5,1,5,2,16,2,7,1,3,11,3N,Pass,no,no,no,no,460,0
218300, n AKJT76.AJ53..874 ,13,s 42.K864.KQ652.J2 ,9,450,6,4,0,3,13,2,4,5,2,9,4♥,Pass,no,no,no,no,450,0
218301, n AKJ754.T.J875.K4 ,12,s 8.Q82.93.AQJ9532 ,9,130,6,1,4,2,12,1,3,2,7,9,2♣,Pass,no,no,no,no,130,0
218302, n A9843.AK84.AK74. ,18,s J.JT96.JT9653.AQ ,9,1510,5,4,4,0,18,1,4,6,2,9,4♠,7♥,Pass,no,no,no,1510,0
218303, n AJ865.KQ987..A53 ,14,s QT.6.AJ8742.J974 ,8,140,5,5,0,3,14,2,1,6,4,8,2♠,Pass,no,no,no,no,110,-1
218304, n AK532.Q85.K.QT74 ,14,s 9.T73.AT852.AJ32 ,9,120,5,3,1,4,14,1,3,5,4,9,Pass,no,no,no,no,no,120,0
218305, n AKJ97.KT.43.JT53 ,12,s .J9732.KJ97.AQ62 ,11,400,5,2,2,4,12,0,5,4,4,11,3N,Pass,no,no,no,no,400,0
218306, n K9752.AT2.A42.Q2 ,13,s J3.7643.K53.AK95 ,11,110,5,3,3,2,13,2,4,3,4,11,2♥,Pass,no,no,no,no,110,0
218307, n QJ753.K53.AK53.5 ,13,s K4.AJ4.87642.Q62 ,10,400,5,3,4,1,13,2,3,5,3,10,2♥,5♦,Pass,no,no,no,400,0
218308, n AQ842.J3.J9.KQJ6 ,14,s 76.KQ8742.AT8.74 ,9,100,5,2,2,4,14,2,6,3,2,9,2♥,Pass,no,no,no,no,110,0
218309, n KQ963.K432.QJT.A ,15,s 8.J976.AK94.Q854 ,10,420,5,4,3,1,15,1,4,4,4,10,4♥,Pass,no,no,no,no,420,0
218310, n AQJ87.Q63.J5.Q93 ,12,s 95.A9.AKT987.754 ,11,100,5,3,2,3,12,2,2,6,3,11,Pass,no,no,no,no,no,120,1
218311, n A87652.K7.A6.KJT ,15,s 9.AQ962.K53.9764 ,9,420,6,2,2,3,15,1,5,3,4,9,4♥,Pass,no,no,no,no,420,0
218312, n AK983.A95.J64.82 ,12,s 4.KQT82.8753.K54 ,8,-100,5,3,3,2,12,1,5,4,3,8,Pass,no,no,no,no,no,120,6
218313, n AQJT6.Q743.K3.43 ,12,s 5.K8652.Q87.AT92 ,9,420,5,4,2,2,12,1,5,3,4,9,4♥,Pass,no,no,no,no,420,0
218314, n AQ762.QJ53.KJ4.T ,13,s T5.T97.AT762.AJ9 ,9,100,5,4,3,1,13,2,3,5,3,9,Pass,no,no,no,no,no,120,1
218315, n QT932.Q5.AK4.Q87 ,13,s J5.KJT8.QJ2.T632 ,8,80,5,2,3,3,13,2,4,3,4,8,Pass,no,no,no,no,no,-50,-4
218316, n AK643.QJ.4.Q9843 ,12,s 7.98762.AQT2.KJ5 ,10,-90,5,2,1,5,12,1,5,4,3,10,2♣,Pass,no,no,no,no,90,5
218317, n AKQT3.Q6.KJ.KQT2 ,20,s 75.T854.AT764.A6 ,8,460,5,2,2,4,20,2,4,5,2,8,3N,Pass,no,no,no,no,460,0
218318, n KQJT5.A43.A.Q542 ,16,s 4.QJ5.Q9764.KJ76 ,9,140,5,3,1,4,16,1,3,5,4,9,2♣,Pass,no,no,no,no,130,0
218319, n AK964.K54.A952.5 ,14,s Q.AT982.K873.432 ,9,450,5,3,4,1,14,1,5,4,3,9,4♥,Pass,no,no,no,no,450,0
218320, n AKT82.AKQ65.8.Q4 ,18,s 74.J874.K75.AJ96 ,9,980,5,5,1,2,18,2,4,3,4,9,2♥,2♠,2N,5♥,Pass,no,450,-11
218321, n AKJT963..AQ96.T8 ,14,s 54.KQT85.KT8.643 ,8,450,7,0,4,2,14,2,5,3,3,8,4♠,Pass,no,no,no,no,450,0
218322, n KQ876.QT..AQ9875 ,13,s 52.AJ87.T8754.K3 ,8,400,5,2,0,6,13,2,4,5,2,8,5♣,Pass,no,no,no,no,400,0
218323, n KJT53.J7.T875.AK ,12,s 94.AT94.AJ432.75 ,9,100,5,2,4,2,12,2,4,5,2,9,Pass,no,no,no,no,no,90,0
218324, n AKT763.K862.5.AJ ,15,s 5.AJT.AQ9863.T86 ,11,420,6,4,1,2,15,1,3,6,3,11,4♠,Pass,no,no,no,no,420,0
218325, n QJ432.AQJ3.Q.KQ6 ,17,s AK.KT976.JT643.8 ,11,450,5,4,1,3,17,2,5,5,1,11,4♥,Pass,no,no,no,no,450,0
218326, n AKJ32.J7.Q84.AJ5 ,16,s 54.AQT9843.AJ65. ,11,1520,5,2,3,3,16,2,7,4,0,11,4♠,7♥,Pass,no,no,no,1510,0
218327, n AKQT9.43.KQJ83.J ,16,s J3.QT.A95.Q97654 ,9,420,5,2,5,1,16,2,2,3,6,9,4♠,Pass,no,no,no,no,420,0
218328, n QJ653.J.KQ52.K43 ,12,s AT.86.T6.AT97652 ,8,100,5,1,4,3,12,2,2,2,7,8,2♣,Pass,no,no,no,no,130,1
218329, n KT973.K53.AT3.AK ,17,s AQ.862.Q62.QT843 ,10,140,5,3,3,2,17,2,3,3,5,10,2♠,Pass,no,no,no,no,140,0
218330, n AKJ54.AJ.93.QJT2 ,16,s Q2.9632.AT8.K953 ,9,420,5,2,2,4,16,2,4,3,4,9,4♠,Pass,no,no,no,no,420,0
218331, n J97432.A43.A6.A6 ,13,s K.KQJ5.JT9875.J7 ,11,-100,6,3,2,2,13,1,4,6,2,11,2♠,Pass,no,no,no,no,110,5
218332, n 97543.AKQ8.KQ.J8 ,15,s 8.62.T6.AKQ97432 ,9,100,5,4,2,2,15,1,2,2,8,9,5♣,Pass,no,no,no,no,400,7
218333, n AQ842.K.KQ8.T974 ,14,s T.T84.A97654.KJ6 ,8,100,5,1,3,4,14,1,3,6,3,8,2♦,Pass,no,no,no,no,130,1
218334, n AK852.6.K9842.KQ ,15,s Q3.Q97.AT76.J984 ,9,450,5,1,5,2,15,2,3,4,4,9,4♠,Pass,no,no,no,no,450,0
218335, n AKQJT3.93.T.A853 ,14,s 97.KJT4.A8542.K6 ,11,980,6,2,1,4,14,2,4,5,2,11,3N,6♠,Pass,no,no,no,980,0
218336, n AQT976.954.9.AK3 ,13,s J4.7.AK7542.T985 ,8,140,6,3,1,3,13,2,1,6,4,8,2♠,Pass,no,no,no,no,140,0
218337, n KQ653.K84.K5.Q97 ,13,s 92.AQJ632.JT9.KT ,11,420,5,3,2,3,13,2,6,3,2,11,4♥,Pass,no,no,no,no,420,0
218338, n AKT974.K.AT.K984 ,17,s 32.A872.KJ942.J3 ,9,990,6,1,2,4,17,2,4,5,2,9,4♣,6N,Pass,no,no,no,990,0
218339, n AQT63.Q73.752.A3 ,12,s 2.A8642.QT83.QT9 ,8,100,5,3,3,2,12,1,5,4,3,8,Pass,no,no,no,no,no,90,0
218340, n AKQJT4.K853.6.42 ,13,s 7.J74.93.AKQJT97 ,11,450,6,4,1,2,13,1,3,2,7,11,4♠,Pass,no,no,no,no,450,0
218341, n QJ9863.J.65.AKQ4 ,13,s 52.AKT98.Q93.T72 ,9,100,6,1,2,4,13,2,5,3,3,9,2♠,Pass,no,no,no,no,110,0
218342, n KT954.KJ98..KQ87 ,12,s Q6.T765.Q943.A65 ,8,300,5,4,0,4,12,2,4,4,3,8,4♥,Pass,no,no,no,no,420,3
218343, n AJ942.T.76.AKQT3 ,14,s 76.AKJ842.K83.42 ,11,450,5,1,2,5,14,2,6,3,2,11,4♥,Pass,no,no,no,no,450,0
218344, n AK984.AT6.QJ43.T ,14,s Q3.92.76.AKJ8532 ,10,110,5,3,4,1,14,2,2,2,7,10,2♠,Pass,no,no,no,no,110,0
218345, n AKT54.AT632.7.K8 ,14,s Q.KQ8754.JT92.97 ,8,450,5,5,1,2,14,1,6,4,2,8,4♥,Pass,no,no,no,no,450,0
218346, n AT762.A97.K86.KT ,14,s 5.QJT54.A543.Q53 ,9,420,5,3,3,2,14,1,5,4,3,9,4♥,Pass,no,no,no,no,420,0
218347, n KQT8643.AT8..A42 ,13,s A7.J.A9432.T8763 ,9,450,7,3,0,3,13,2,1,5,5,9,4♠,Pass,no,no,no,no,450,0
218348, n T9743.AK95.A.J97 ,12,s A2.QJT4.T9862.Q2 ,9,420,5,4,1,3,12,2,4,5,2,9,4♥,Pass,no,no,no,no,420,0
218349, n AQJT986.J9.J6.A2 ,13,s K5.A8642.Q73.J97 ,10,300,7,2,2,2,13,2,5,3,3,10,3N,Pass,no,no,no,no,400,3
218350, n AQT965..AQJ974.A ,17,s 3.AQJT9854.K5.J3 ,11,920,6,0,6,1,17,1,8,2,2,11,3♠,6♦,Pass,no,no,no,920,0
218351, n AKQJ74.KJ43.AJ.J ,20,s 53.AQT8.T763.AT4 ,10,1520,6,4,2,1,20,2,4,4,3,10,4♠,7♥,Pass,no,no,no,1510,0
218352, n AQJ73.85.82.AJ87 ,12,s 2.KJ32.A643.QT93 ,10,400,5,2,2,4,12,1,4,4,4,10,3N,Pass,no,no,no,no,400,0
218353, n AK8532.A85.A.A65 ,19,s J9.K72.K74.KJT83 ,11,1520,6,3,1,3,19,2,3,3,5,11,5♣,7N,Pass,no,no,no,1520,0
218354, n KQT52.Q83.A32.Q8 ,13,s 94.KT976.T98.AK2 ,10,420,5,3,3,2,13,2,5,3,3,10,4♥,Pass,no,no,no,no,420,0
218355, n K76532..AQT9.AQ2 ,15,s J.KJ8.K8743.J976 ,9,400,6,0,4,3,15,1,3,5,4,9,2♥,5♦,Pass,no,no,no,400,0
218356, n Q9754.AJ3.K5.Q97 ,12,s 6.K98654.T6.AK82 ,10,450,5,3,2,3,12,1,6,2,4,10,4♥,Pass,no,no,no,no,450,0
218357, n A98432.3.K43.AQ5 ,13,s K.AQ9765.9876.76 ,9,-100,6,1,3,3,13,1,6,4,2,9,2♦,Pass,no,no,no,no,90,5
218358, n AK854.JT5.K976.K ,14,s T.K2.AJ532.96532 ,8,130,5,3,4,1,14,1,2,5,5,8,2♦,Pass,no,no,no,no,130,0
218359, n AK764.AQ752.J4.T ,14,s T5.8.AQ9752.K764 ,9,430,5,5,2,1,14,2,1,6,4,9,3N,Pass,no,no,no,no,430,0
218360, n AQ6532.KT863.6.A ,13,s 74.A92.T742.KJ76 ,8,450,6,5,1,1,13,2,3,4,4,8,4♥,Pass,no,no,no,no,450,0
218361, n AT764.3.K53.AKT4 ,14,s 8.J952.AQ7.Q9832 ,9,400,5,1,3,4,14,1,4,3,5,9,5♣,Pass,no,no,no,no,400,0
218362, n KT843.K53.86.AQ5 ,12,s Q.AQ9864.T742.K8 ,11,420,5,3,2,3,12,1,6,4,2,11,4♥,Pass,no,no,no,no,420,0
218363, n AT986.Q5.AK94.85 ,13,s 32.AJ632.8652.A2 ,9,140,5,2,4,2,13,2,5,4,2,9,2♥,Pass,no,no,no,no,140,0
218364, n AQ973.76.AQJ.A62 ,17,s J8.K9.KT874.QJT9 ,10,920,5,2,3,3,17,2,2,5,4,10,3♥,6♦,Pass,no,no,no,920,0
218365, n J9532.K9.AQ.Q983 ,12,s Q.AQT86.98742.42 ,8,140,5,2,2,4,12,1,5,5,2,8,2♥,Pass,no,no,no,no,140,0
218366, n KQJ962.A986.AQ.5 ,16,s A7.JT42.864.QJ42 ,8,450,6,4,2,1,16,2,4,3,4,8,4♠,Pass,no,no,no,no,450,0
218367, n AK654.K2.K32.Q53 ,15,s Q8.QJ943.Q87.J86 ,8,140,5,2,3,3,15,2,5,3,3,8,2♥,Pass,no,no,no,no,140,0
218368, n KQJ76.9862.AQ42. ,12,s A5.T53.973.AT753 ,8,120,5,4,4,0,12,2,3,3,5,8,Pass,no,no,no,no,no,120,0
218369, n KQ9753.6.AKT64.8 ,12,s T.AQ8742.Q985.95 ,8,420,6,1,5,1,12,1,6,4,2,8,4♠,Pass,no,no,no,no,420,0
218370, n AQJT875.85.J.AT9 ,12,s 3.KQJ97.T865.QJ6 ,9,420,7,2,1,3,12,1,5,4,3,9,4♠,Pass,no,no,no,no,420,0
218371, n AKT976.K.JT63.KQ ,16,s J.QT942.Q97542.A ,9,130,6,1,4,2,16,1,5,6,1,9,2♦,Pass,no,no,no,no,130,0
218372, n AKQJ43.63.J76.K8 ,14,s 87.Q87542.A3.A96 ,10,430,6,2,3,2,14,2,6,2,3,10,3N,Pass,no,no,no,no,430,0
218373, n AK863.2.QT.KQ652 ,14,s Q4.AQ98.98754.J8 ,9,110,5,1,2,5,14,2,4,5,2,9,2♠,Pass,no,no,no,no,110,0
218374, n KQJ874.KT9.873.A ,13,s A3.AJ643.T.Q9654 ,11,980,6,3,3,1,13,2,5,1,5,11,3N,6♠,Pass,no,no,no,980,0
218375, n JT632..AJ.AK9863 ,13,s K.J8652.KQ98.QT2 ,11,400,5,0,2,6,13,1,5,4,3,11,5♣,Pass,no,no,no,no,400,0
218376, n KQ542.KQ7.A2.A94 ,18,s A.9832.KQT9.T863 ,9,400,5,3,2,3,18,1,4,4,4,9,3N,Pass,no,no,no,no,400,0
218377, n AQJT4.K987.T6.A7 ,14,s 82.JT6.KQJ985.Q2 ,9,140,5,4,2,2,14,2,3,6,2,9,2♥,Pass,no,no,no,no,140,0
218378, n AKQ98.A4.J873.92 ,14,s T2.65.AT654.AT54 ,8,450,5,2,4,2,14,2,2,5,4,8,4♠,Pass,no,no,no,no,450,0
218379, n K9873.K754.AK4.9 ,13,s 2.AJ86.T53.AQT76 ,11,420,5,4,3,1,13,1,4,3,5,11,4♥,Pass,no,no,no,no,420,0
218380, n KQJ64.K3.K.KT643 ,15,s T5.AQ9.AT9853.J7 ,11,420,5,2,1,5,15,2,3,6,2,11,4♠,Pass,no,no,no,no,420,0
218381, n A8754.A8.A84.QT8 ,14,s K3.96543.Q72.A72 ,9,140,5,2,3,3,14,2,5,3,3,9,2♠,Pass,no,no,no,no,110,-1
218382, n AJ932.AT7.Q92.QT ,13,s .K.AJ874.K985432 ,11,400,5,3,3,2,13,0,1,5,7,11,5♣,Pass,no,no,no,no,400,0
218383, n AQT9653..A982.QT ,12,s 72.K9762.KQT543. ,8,800,7,0,4,2,12,2,5,6,0,8,3♠,6♦,Pass,no,no,no,920,3
218384, n QJ642.9.J3.AKJ63 ,12,s K.KJ86432.T542.Q ,9,-90,5,1,2,5,12,1,7,4,1,9,Pass,no,no,no,no,no,-50,1
218385, n JT9654.AQ7.J5.KJ ,12,s A.T2.KQ84.T96432 ,9,100,6,3,2,2,12,1,2,4,6,9,2♣,Pass,no,no,no,no,110,0
218386, n AJT8632.T7.AQ4.A ,15,s 9.A62.J82.QJ9853 ,8,140,7,2,3,1,15,1,3,3,6,8,2♠,Pass,no,no,no,no,140,0
218387, n A87432.AJT5.T.A8 ,13,s J9.K64.K96.JT643 ,8,140,6,4,1,2,13,2,3,3,5,8,2♠,Pass,no,no,no,no,140,0
218388, n KQJ85.5.K92.AKQ2 ,18,s 4.AQ986.AT8543.3 ,10,460,5,1,3,4,18,1,5,6,1,10,3N,Pass,no,no,no,no,460,0
218389, n KJT632.AK42.Q.43 ,13,s 7.87653.J8.AK976 ,8,300,6,4,1,2,13,1,5,2,5,8,4♥,Pass,no,no,no,no,420,3
218390, n Q9642.A6.QJ72.A8 ,13,s K.JT973.A85.Q972 ,10,100,5,2,4,2,13,1,5,3,4,10,Pass,no,no,no,no,no,-50,-4
218391, n AKJ983.J.72.A876 ,13,s T5.KQ743.KT93.32 ,8,110,6,1,2,4,13,2,5,4,2,8,2♠,Pass,no,no,no,no,110,0
218392, n AK643.A42..AQJ93 ,18,s Q2.QJ.QJ743.7642 ,8,420,5,3,0,5,18,2,2,5,4,8,4♠,Pass,no,no,no,no,420,0
218393, n AQT98.QJ3.A742.2 ,13,s K7.K5.J86.J97653 ,8,140,5,3,4,1,13,2,2,3,6,8,2♠,Pass,no,no,no,no,140,0
